#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-13.0,100,1419.806283
-100.0,100,1421.318933
-100.0,100,1422.715026
-100.0,100,1424.182224
-8.0,100,1425.539723
-18.0,100,1427.091779
-100.0,100,1428.567653
-100.0,100,1429.935903
-100.0,100,1431.540906
-100.0,100,1432.913222
-100.0,100,1434.344705
-100.0,100,1435.851565
-90.0,100,1437.274229
-100.0,100,1438.856631
-100.0,100,1440.232068
-100.0,100,1441.637665
-100.0,100,1442.983665
-100.0,100,1444.486528
-57.0,100,1445.92538
-100.0,100,1447.438325
-38.0,100,1449.012581
-100.0,100,1450.536589
-100.0,100,1451.796999
-1.0,100,1453.260547
-100.0,100,1454.608219
-23.0,100,1456.107168
-8.0,100,1457.502561
-100.0,100,1459.029035
-100.0,100,1460.267944
-100.0,100,1461.594957
-100.0,100,1462.964653
-100.0,100,1464.450001
-86.0,100,1466.018831
-87.0,100,1467.402502
-100.0,100,1468.891369
-100.0,100,1470.176366
-100.0,100,1471.530912
-100.0,100,1472.873713
-100.0,100,1474.381732
-100.0,100,1475.760935
-12.0,100,1477.211408
0.0,100,1478.571732
-100.0,100,1480.031018
-93.0,100,1481.520199
-18.0,100,1482.94139
-100.0,100,1484.43437
-100.0,100,1485.800278
-100.0,100,1487.373168
-100.0,100,1488.769765
-100.0,100,1490.137927
-20.0,100,1491.716665
-100.0,100,1493.164549
-33.0,100,1494.59091
-9.0,100,1496.057206
-100.0,100,1497.395353
-100.0,100,1498.871905
-46.0,100,1500.251111
-100.0,100,1501.765683
-17.0,100,1503.286785
-65.0,100,1504.704752
-4.0,100,1506.056584
-100.0,100,1507.263996
-100.0,100,1508.577177
-63.0,100,1510.061318
-100.0,100,1511.615572
-100.0,100,1513.236307
-100.0,100,1514.688914
-12.0,100,1516.269594
-100.0,100,1517.957249
-40.0,100,1519.570122
-100.0,100,1521.156848
-100.0,100,1522.548571
-100.0,100,1523.973709
-100.0,100,1525.321907
-100.0,100,1526.754961
-100.0,100,1528.087203
-100.0,100,1529.628885
-93.0,100,1531.046066
